position,age,value
408.97,8851.1,2.5
409.02,8853.2,2.56
409.07,8855.4,2.55
409.12,8857.5,2.48
409.17,8859.6,2.33
409.22,8861.8,2.5
409.27,8863.9,2.45
409.32,8866,2.33
409.37,8868.1,2.19
409.42,8870.7,2.3
409.47,8873.2,2.37
409.52,8875.7,2.4
409.57,8878.3,2.26
409.62,8880.8,2.64
409.67,8883.3,2.59
409.72,8885.8,2.51
409.77,8888.4,2.58
409.82,8890.9,2.64
409.87,8893.4,2.56
409.92,8896,2.44
409.97,8898.5,2.57
410.02,8901,2.61
410.07,8903.6,2.55
410.12,8906.1,2.52
410.17,8908.6,
410.22,8911.2,2.47
410.27,8913.7,2.59
410.32,8916.2,2.61
410.37,8918.7,2.57
410.42,8921.3,2.63
410.47,8923.8,2.49
410.52,8926.3,2.5
410.57,8928.9,2.68
410.62,8931.4,2.44
410.67,8933.9,2.5
410.72,8936.5,2.36
410.82,8941.5,2.35
410.87,8944.1,2.3
410.92,8946.6,2.39
410.97,8949.1,2.33
411.02,8951.6,2.27
411.07,8954.2,2.55
411.12,8956.7,2.66
411.17,8959.2,2.58
411.22,8961.8,2.72
411.27,8964.3,2.47
411.32,8966.8,2.77
411.42,8971.9,2.59
411.52,8977,2.49
411.57,8979.5,2.34
411.62,8982,2.31
411.67,8984.5,2.5
411.72,8987.1,2.42
411.77,8989.6,2.63
411.82,8992.1,2.42
411.87,8994.7,2.6
411.92,8997.2,2.51
411.97,8999.7,2.39
412.02,9002.3,2.26
412.07,9004.8,2.36
412.12,9007.3,2.25
412.17,9009.8,2.2
412.22,9012.4,2.44
412.27,9014.9,2.43
412.32,9017.4,2.61
412.37,9020,2.52
412.42,9022.5,2.36
412.47,9025,2.37
412.57,9030.1,2.37
412.62,9032.6,2.2
412.67,9035.1,1.87
412.72,9037.2,2.07
412.77,9039.4,1.99
412.87,9043.7,2.11
412.92,9045.8,2.13
413.02,9050.2,2.02
413.07,9052.3,2.29
413.12,9054.5,2.08
413.17,9056.6,2.12
413.27,9061,2.24
413.32,9063.1,2.42
413.37,9065.3,2.54
413.42,9067.4,2.44
413.47,9069.6,2.52
413.52,9071.7,2.45
413.57,9073.9,2.46
413.62,9076.1,2.26
413.67,9078.2,2.41
413.72,9080.4,2.27
413.77,9082.5,2.4
413.82,9084.7,2.49
413.87,9086.8,2.46
413.92,9089,2.47
413.97,9091.2,2.57
414.02,9093.3,2.52
414.07,9095.5,2.43
414.12,9097.6,2.47
414.17,9099.8,2.45
414.22,9102,2.29
414.27,9104.1,2.46
414.32,9106.3,2.27
414.37,9108.4,2.21
414.42,9110.6,2.28
414.47,9112.7,2.27
414.52,9114.9,2.31
414.57,9117.1,2.13
414.62,9119.2,2.25
414.67,9121.4,2.34
414.72,9123.5,2.35
414.77,9125.7,2.29
414.82,9127.9,2.13
414.87,9130,2.16
414.92,9132.2,2.13
414.97,9134.3,2.12
415.02,9136.5,2.51
415.07,9138.6,2.39
415.12,9140.8,2.4
415.17,9143,2.31
415.22,9145.1,2.19
415.27,9147.3,2.26
415.32,9149.4,2.31
415.37,9151.6,2.23
415.42,9153.7,2.14
415.47,9155.9,2.11
415.52,9158.1,2.15
415.57,9160.2,2.4
415.62,9162.4,2.27
415.67,9164.5,2.26
415.72,9166.7,2.29
415.77,9168.9,2.32
415.82,9171,2.11
415.87,9173.2,2.19
415.92,9175.3,2.3
415.97,9177.5,2.1
416.02,9179.6,1.97
416.07,9181.8,2.2
416.12,9184,2.32
416.17,9186.1,2.32
416.22,9188.3,2.61
416.27,9190.4,2.46
416.32,9192.6,2.53
416.37,9194.8,2.34
416.42,9196.9,2.39
416.47,9199.1,2.43
416.52,9201.2,2.41
416.57,9203.4,2.42
416.62,9205.5,2.32
416.67,9207.7,2.33
416.72,9209.9,2.36
416.87,9216.3,2.64
416.92,9218.5,2.67
416.97,9220.6,2.55
417.02,9222.8,2.57
417.07,9224.9,2.63
417.12,9227.1,2.58
417.17,9229.2,2.48
417.22,9231.3,2.44
417.27,9233.4,2.39
417.32,9235.6,2.38
417.37,9237.7,2.36
417.42,9239.8,2.32
417.47,9241.9,2.42
417.52,9244,2.34
417.57,9246.2,2.34
417.62,9248.3,2.24
417.67,9250.4,2.42
417.72,9252.5,2.53
417.77,9254.7,2.51
417.82,9256.8,2.64
417.87,9258.9,2.57
417.92,9261,2.56
417.97,9263.2,2.63
418.02,9265.3,2.65
418.07,9267.4,2.44
418.12,9269.5,2.6
418.17,9271.6,2.52
418.22,9273.8,2.44
418.27,9275.9,2.3
418.32,9278,2.39
418.37,9280.1,2.3
418.42,9282.3,2.31
418.47,9284.4,2.35
418.52,9286.5,2.25
418.57,9288.6,2.28
418.62,9290.8,2.44
418.67,9292.9,2.58
418.72,9295,2.19
418.77,9297.1,2.39
418.82,9299.2,2.38
418.87,9301.4,2.39
418.92,9303.5,2.33
418.97,9305.6,2.45
419.02,9307.7,2.26
419.07,9309.9,2.28
419.12,9312,2.21
419.17,9314.1,2.25
419.22,9316.2,2.14
419.27,9318.4,2.1
419.32,9320.5,2.31
419.37,9322.6,2.36
419.42,9324.7,2.31
419.47,9326.9,2.39
419.52,9329,2.39
419.57,9331.1,2.52
419.62,9333.2,2.59
419.67,9335.3,2.51
419.72,9337.5,2.39
419.77,9339.6,2.44
419.82,9341.7,2.27
419.87,9343.8,2.39
419.92,9346,2.35
419.97,9348.1,2.3
420.02,9350.2,2.2
420.07,9352.3,2.18
420.12,9354.5,2.18
420.17,9356.6,2.27
420.22,9358.7,2.14
420.27,9360.8,2.39
420.32,9362.9,2.34
420.37,9365.1,2.32
420.42,9367.2,2.42
420.47,9369.3,2.49
420.52,9371.4,2.28
420.57,9373.6,2.5
420.62,9375.7,2.21
420.67,9377.8,2.31
420.72,9379.9,2.32
420.77,9382.1,2.17
420.82,9384.2,2.23
420.87,9386.3,2.15
420.92,9388.4,2.03
420.97,9390.5,2.17
421.02,9392.7,2.25
421.07,9394.8,2.32
421.12,9396.9,2.41
421.17,9399,2.46
421.22,9401.2,2.51
421.27,9403.3,2.35
421.32,9405.4,2.46
421.37,9407.5,2.39
421.42,9409.7,2.44
421.47,9411.8,2.54
421.52,9413.9,2.42
421.57,9416,2.46
421.62,9418.1,2.58
421.67,9420.3,2.51
421.72,9422.4,2.42
421.77,9424.5,2.34
421.82,9426.6,2.45
421.87,9428.8,2.01
421.92,9430.9,2.24
421.97,9433,2.17
422.02,9435.1,2.27
422.07,9437.3,2.22
422.12,9439.4,2.47
422.17,9441.5,2.3
422.22,9443.6,2.51
422.27,9445.7,2.39
422.32,9447.9,2.51
422.37,9450,2.59
422.42,9452.1,2.38
422.47,9454.2,2.44
422.52,9456.4,2.36
422.57,9458.5,2.38
422.62,9460.6,2.36
422.67,9462.7,2.51
422.72,9464.9,2.38
422.77,9467,2.47
422.82,9469.1,2.26
422.87,9471.2,2.26
422.92,9473.3,2.21
422.97,9475.5,2.22
423.02,9477.6,2.29
423.07,9479.7,2.15
423.12,9481.8,2.26
423.17,9484,2.28
423.22,9486.1,2.08
423.27,9488.2,2.43
423.32,9490.3,2.39
423.37,9492.5,2.52
423.47,9496.7,2.44
423.52,9498.8,2.52
423.57,9500.9,2.38
423.62,9503.1,2.44
423.67,9505.2,2.4
423.72,9507.3,2.34
423.77,9509.4,2.31
423.82,9511.6,2.37
423.87,9513.7,2.15
423.97,9517.9,2.19
424.03,9520.5,1.98
424.08,9522.6,2.13
424.13,9524.7,2.48
424.18,9526.8,2.41
424.23,9529,2.51
424.28,9531.1,2.45
424.33,9533.2,2.5
424.38,9535.3,2.52
424.43,9537.5,2.47
424.48,9539.6,2.4
424.53,9541.7,2.41
424.58,9543.8,2.31
424.63,9546,2.38
424.68,9548.1,2.38
424.73,9550.2,2.21
424.78,9552.3,2.3
424.83,9554.4,2.18
424.88,9556.6,2.07
424.93,9558.7,2.15
424.98,9560.8,2.13
425.03,9562.9,2.26
425.08,9565.1,2.19
425.13,9567.2,2.39
425.17,9568.9,2.48
425.22,9571,2.4
425.27,9573.1,2.4
425.32,9575.3,2.26
425.37,9577.4,2.38
425.42,9579.5,2.36
425.47,9581.6,2.26
425.52,9583.7,2.32
425.57,9585.9,2.23
